,Song,Color,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
0,Don't Panic,tomato,0.206,0.602,0.612,0.00616,0.107,-8.409,0.0335,122.062
1,水の中で,paleturquoise,0.437,0.394,0.729,1.85e-05,0.216,-4.805,0.0661,100.151
2,Meet Me In The Hallway,lavender,0.747,0.537,0.383,0.00025,0.356,-6.528,0.0247,104.252
3,Sign of the Times,darkseagreen,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972
4,Carolina,lightseagreen,0.000569,0.624,0.673,1.54e-06,0.104,-4.017,0.0268,121.986
5,Two Ghosts,gold,0.234,0.386,0.407,1.86e-06,0.0999,-7.095,0.0268,69.387
6,Sweet Creature,lightsalmon,0.746,0.427,0.262,0.0,0.068,-8.541,0.0276,104.085
7,Only Angel,red,0.287,0.554,0.842,0.0,0.106,-4.113,0.0397,114.036
8,Kiwi,darkred,0.00064,0.375,0.93,0.0,0.318,-2.631,0.0561,147.124
9,Robbery,firebrick,0.328,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966
10,bad guy,forestgreen,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128
11,Stigma,lightsteelblue,0.148,0.583,0.475,0.0,0.139,-5.556,0.0846,136.034
12,Drown,deepskyblue,0.501,0.839,0.81,0.0,0.117,-5.274,0.0568,129.014
13,Danse Macabre,indigo,0.898,0.371,0.131,0.925,0.0847,-23.899,0.0413,105.328
14,Fallin' All In You,lightpink,0.405,0.853,0.476,0.0,0.111,-6.696,0.0361,92.038
15,America,darkseagreen,0.448,0.55,0.824,0.000127,0.366,-5.988,0.0334,114.512
16,Supercut,chocolate,0.0789,0.807,0.539,0.0,0.0928,-8.193,0.124,127.992
17,Satisfied,gold,0.287,0.707,0.593,0.0,0.15,-8.581,0.0949,123.772
18,Love Shot,darkred,0.0702,0.689,0.678,0.0,0.0889,-4.287,0.119,145.883
19,Wildest Dream,mediumorchid,0.0709,0.553,0.664,0.0056,0.106,-7.417,0.0741,140.06
20,Harder Better Faster Stronger,aqua,0.0427,0.817,0.716,0.00263,0.358,-8.898,0.144,123.475
21,Human,coral,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.09
22,Say,darkmagenta,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962
23,I Write Sins Not Tragedies,darkred,0.0807,0.569,0.83,0.0,0.114,-4.106,0.14,170.094
24,21st Century,peru,0.00423,0.716,0.906,0.0,0.0547,-3.539,0.0717,101.028
25,Stereo Hearts,silver,0.0319,0.646,0.795,0.0,0.267,-3.293,0.0976,89.99
26,Rockabye,aquamarine,0.406,0.72,0.763,0.0,0.18,-4.068,0.0523,101.965
27,Moral Of The Story,midnightblue,0.587,0.572,0.406,4.48e-06,0.102,-8.624,0.0427,119.812
28,Yellow,lightpink,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,173.365
29,In Bloom,crimson,3.33e-05,0.436,0.876,0.000104,0.205,-4.902,0.0647,157.044
30,poison,darkgreen,0.711,0.689,0.394,0.000905,0.0859,-10.102,0.065,117.489
31,Without You,yellow,0.00163,0.662,0.858,0.0,0.0456,-4.844,0.0428,133.993
32,I Need To Get Off My Phone,darkmagenta,0.00193,0.311,0.877,0.793,0.0976,-7.025,0.0622,157.63
33,say something,powderblue,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284
34,I Don’t Know About You,darkturquoise,0.602,0.593,0.81,0.0,0.119,-5.733,0.0625,144.011
35,Cardigan,oldlace,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033
36,Stressed Out,darkred,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977
37,mirrorball,ghostwhite,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107
38,We find love,aliceblue,0.853,0.51,0.363,0.0,0.109,-8.635,0.0304,78.0
39,The Village,lemonchiffon,0.534,0.55,0.363,0.0,0.128,-7.326,0.0336,121.94
40,Two of Us,cyan,0.21,0.614,0.605,0.0,0.162,-5.63,0.0319,127.099
41,Behind the Sea,lightcoral,0.173,0.281,0.679,4.38e-06,0.0919,-7.564,0.0449,80.078
42,Better Than Revenge,purple,0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821
43,The Love Club,mistyrose,0.212,0.794,0.493,0.0133,0.13,-7.257,0.0563,92.026
44,Birth in Reverse,saddlebrown,0.0107,0.571,0.867,0.000159,0.251,-6.794,0.109,161.991
45,VCR,lightskyblue,0.891,0.755,0.482,0.818,0.1,-12.729,0.03,109.354
46,heather,lightslategray,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078
47,Sober,slateblue,0.124,0.707,0.562,1.58e-05,0.561,-7.621,0.0305,98.094
48,Mirrorball,honeydew,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107
49,bitches broken hearts,gainsboro,0.921,0.778,0.422,0.00924,0.0958,-10.114,0.0482,120.033
50,Cardigan,olivedrab,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033
51,Flood,darkslateblue,0.00382,0.904,0.672,3e-06,0.138,-6.544,0.197,139.984
52,Ain’t no rest for the wicked,darkolivegreen,0.0438,0.634,0.849,0.0,0.363,-7.075,0.105,156.004
53,sky full of stars,gold,0.00713,0.551,0.636,0.00203,0.217,-7.125,0.0281,124.996
54,Ribs,blueviolet,0.534,0.511,0.472,0.614,0.11,-9.277,0.091,127.978
55,Humpty,mediumvioletred,0.995,0.55,0.0391,0.929,0.107,-20.252,0.0756,125.434
56,She,crimson,0.0292,0.533,0.907,0.0,0.386,-3.793,0.0406,150.99
57,Ghostin,lightblue,0.418,0.287,0.364,1.8e-05,0.185,-8.295,0.0306,103.777
58,Mr. Loverman,lightblue,0.243,0.641,0.527,2.51e-05,0.25,-6.697,0.0256,130.018
59,Tongue Tied,greenyellow,0.00847,0.56,0.936,0.0,0.161,-5.835,0.0439,112.96
60,Are You Bored Yet?,lightskyblue,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023
61,Are You Bored Yet?,lightskyblue,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023
62,DNA,tomato,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913
63,Lovely,slategray,0.934,0.351,0.296,0.0,0.095,-10.109,0.0333,115.284
64,Savage Love,salmon,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076
65,No Tears Left to Cry,blueviolet,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993
66,Make it Right,lightsalmon,0.0304,0.584,0.685,0.0,0.189,-7.811,0.425,97.551
67,Attention,midnightblue,0.109,0.775,0.613,2.33e-05,0.134,-4.586,0.0542,100.066
68,Bad Guy,maroon,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128
69,Without Me,lavenderblush,0.297,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041
70,Dancing With a Stranger,yellowgreen,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,102.998
71,Roxanne,fuschia,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735
72,Easier,lightyellow,0.476,0.576,0.46,0.0,0.107,-4.173,0.246,176.185
73,ME!,gold,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,91.019
74,When the Party’s Over,ghostwhite,0.995,0.637,0.0384,0.961,0.114,-23.204,0.197,71.952
75,Sour Candy,greenyellow,0.0604,0.752,0.87,1.12e-05,0.489,-3.812,0.0623,120.006
76,Friends,lightcyan,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079
77,Taki Taki,firebrick,0.157,0.842,0.801,4.82e-06,0.0642,-4.167,0.228,95.881
78,Sucker,paleturquoise,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958
79,7 Rings,deeppink,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048
80,Kill This Love,mediumvioletred,0.32,0.738,0.861,0.00175,0.325,-4.141,0.237,131.974
81,Bury a Friend,darkolivegreen,0.74,0.905,0.389,0.162,0.106,-14.505,0.332,120.046
82,New Rules,palegoldenrod,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073
83,Happier,gold,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015
84,Everything I Wanted,steelblue,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006
85,Sweet but Psycho,lightcoral,0.0691,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002
86,Somewhere in the Jungle,orangered,0.000183,0.408,0.749,0.593,0.0524,-6.09,0.0287,164.07
87,Supercut,blue,0.0789,0.807,0.539,0.0,0.0928,-8.193,0.124,127.992
88,Nero Forte,darkslategray,0.000437,0.336,0.978,0.000525,0.138,-2.358,0.0846,129.842
89,Fireball,darkorange,0.0894,0.69,0.937,0.000104,0.0532,-5.393,0.0642,122.951
90,Holy Water,paleturquoise,0.34,0.469,0.566,0.0,0.203,-6.966,0.0357,73.047
91,Billie Jean,brown,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,117.046
92,Smooth Criminal,crimson,0.00316,0.653,0.964,0.00512,0.144,-4.261,0.0582,126.928
93,Two Vines,chartreuse,0.0407,0.446,0.837,0.000227,0.0903,-3.714,0.0441,100.033
94,Wheel,saddlebrown,0.592,0.708,0.618,2.21e-06,0.399,-6.315,0.039,95.947
95,The Sound,hotpink,0.468,0.322,0.28,1.1e-06,0.102,-9.367,0.0281,85.794
96,Are You Bored Yet?,lightskyblue,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023
97,Chanel,peru,0.874,0.776,0.503,0.0,0.112,-5.732,0.237,110.134
98,Lights Up,mediumblue,0.0392,0.575,0.621,0.0045,0.141,-8.165,0.032,101.987
99,Brazil,green,0.0941,0.687,0.617,1.32e-05,0.0898,-5.213,0.0287,121.08
100,Ghostin,lightblue,0.418,0.287,0.364,1.8e-05,0.185,-8.295,0.0306,103.777
101,Better Than Revenge,purple,0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821
102,Grenade,darkolivegreen,0.146,0.706,0.558,0.0,0.118,-7.237,0.0593,110.443
103,Mr Loverman,lightsteelblue,0.243,0.641,0.527,2.51e-05,0.25,-6.697,0.0256,130.018
104,cinnamon girl,midnightblue,0.839,0.292,0.334,0.345,0.151,-10.679,0.0378,67.836
105,this is me trying,darkgray,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886
106,ribs,lightsteelblue,0.534,0.511,0.472,0.614,0.11,-9.277,0.091,127.978
107,no time to die,darkolivegreen,0.917,0.38,0.219,0.0104,0.0827,-13.273,0.0358,73.537
108,heather,cornflowerblue,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078
109,everything i wanted,darksalmon,0.902,0.704,0.225,0.657,0.106,-14.454,0.0994,120.006
110,apple pie,midnightblue,0.0335,0.655,0.496,0.0,0.156,-4.139,0.0364,137.945
111,Sleepwalking Elite,lightcyan,0.00567,0.427,0.959,0.000279,0.151,-4.67,0.0711,84.979
112,cleaning out my closet,dimgray,0.0687,0.908,0.758,0.0,0.0783,-4.753,0.174,148.015
113,ribs,lightsteelblue,0.534,0.511,0.472,0.614,0.11,-9.277,0.091,127.978
114,Super Bass ,turquoise,0.269,0.72,0.861,5.11e-06,0.601,-4.339,0.209,126.991
115,so good at being in trouble,olivedrab,0.0363,0.829,0.435,0.878,0.119,-10.136,0.0515,103.816
116,Come a Little Bit Closer,tomato,0.52,0.636,0.684,0.0015,0.534,-9.302,0.057,132.509
117,Sh-Boom,lightskyblue,0.859,0.673,0.478,0.0,0.172,-8.479,0.043,136.523
118,SLOW DANCING IN THE DARK,mediumvioletred,0.544,0.515,0.479,0.00598,0.191,-7.458,0.0261,88.964
119,Stolen Dance,indared,0.427,0.885,0.581,0.000204,0.0759,-8.813,0.0378,114.016
120,Heather ,mediumslateblue,0.584,0.357,0.425,0.0,0.322,-7.301,0.0333,102.078
121,Idle Town,lightcoral,0.872,0.606,0.478,2.02e-05,0.106,-6.035,0.0276,77.086
122,Change,teal,0.883,0.669,0.308,0.0,0.0984,-10.068,0.029,64.934
123,Only,powderblue,0.562,0.68,0.826,0.0,0.254,-2.561,0.27,146.95
124,Juice,orange,0.00611,0.767,0.889,0.0,0.402,-2.988,0.0963,119.93
125,Sweater Weather,slateblue,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053
126,My Stress,indared,0.24,0.653,0.796,0.0,0.108,-4.05,0.245,160.026
127,All I need,darkblue,0.517,0.668,0.477,0.446,0.139,-8.709,0.0358,88.005
128,Fireflies,royalblue,0.0275,0.512,0.662,0.0,0.118,-6.797,0.0439,180.114
129,Radioactive,orangered,0.106,0.448,0.784,0.000108,0.668,-3.686,0.0627,136.245
130,Demons,purple,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,89.938
131,Believer,saddlebrown,0.0622,0.776,0.78,0.0,0.081,-4.374,0.128,124.949
132,Symphony,honeydew,0.259,0.707,0.629,1.6e-05,0.138,-4.581,0.0563,122.863
133,Toxic,chartreuse,0.307,0.653,0.453,0.00101,0.113,-5.395,0.0351,111.737
134,Wake Me Up,dodgerblue,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08
135,You Are The Reason,maroon,0.918,0.331,0.235,0.0,0.137,-7.7,0.0299,171.232
136,Ocean eyes,mediumblue,0.816,0.511,0.363,0.0317,0.084,-7.65,0.041,144.892
137,"Music Box, Harp & Hammered Dulcimer",goldenrod,0.14,0.523,0.883,0.862,0.259,-6.608,0.0271,140.03
138,Better When I’m Dancing,gold,0.663,0.751,0.743,0.101,0.125,-8.125,0.0364,128.006
139,Demons,orangered,0.19,0.505,0.71,0.00025,0.329,-3.015,0.0321,89.938
140,Stand By You,gold,0.146,0.506,0.897,0.000451,0.0868,-4.632,0.26,188.03
141,Walking Like Giants,darkgreen,0.0508,0.458,0.794,1.18e-06,0.0721,-5.208,0.139,84.053
142,SLOW DANCING IN THE DARK,mediumvioletred,0.544,0.515,0.479,0.00598,0.191,-7.458,0.0261,88.964
143,UFO,orange,0.243,0.798,0.533,0.261,0.241,-9.274,0.106,150.017
144,Life is long,darkred,0.807,0.401,0.891,0.0,0.923,-10.215,0.879,72.002
145,Next year,saddlebrown,0.00232,0.562,0.809,0.000629,0.0732,-4.976,0.0693,127.453
146,Nobody ,lime,0.31,0.486,0.567,0.0,0.0949,-6.456,0.0379,93.68
147,Machine gun,hotpink,0.00391,0.728,0.685,0.0,0.152,-5.096,0.0433,124.934
148,Kill somebody,saddlebrown,0.103,0.722,0.781,0.0,0.0849,-5.772,0.219,148.066
149,Somewhere in Ann Arbour,green,0.932,0.566,0.153,2.59e-06,0.0946,-14.133,0.0399,90.493
150,In the end,beige,0.00958,0.556,0.864,0.0,0.209,-5.87,0.0584,105.143
151,countdown ,yellow,0.308,0.665,0.787,0.0,0.219,-5.73,0.151,167.349
152,Scratches ,darkred,0.539,0.597,0.322,3.81e-05,0.192,-9.359,0.0382,121.984
153,Summer's end,darkkhaki,0.739,0.435,0.187,0.00226,0.122,-17.703,0.0309,74.378
154,Our friend Bobby,darkcyan,0.763,0.566,0.295,0.0125,0.129,-19.07,0.036,159.921
155,Bad Romance,indigo,0.00314,0.696,0.921,5.24e-05,0.0842,-3.755,0.0363,119.001
156,November ,sienna,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759
157,Cherry Flavoured,mediumvioletred,0.23,0.617,0.574,0.0105,0.0983,-9.768,0.0276,91.769
158,Les années diaboliques ,mediumvioletred,0.815,0.435,0.293,0.000136,0.113,-9.636,0.0356,119.445
159,Quiet Resource ,aqua,0.995,0.349,0.0205,0.93,0.0962,-26.793,0.0425,68.983
160,Liability ,slategray,0.92,0.587,0.229,0.0,0.1,-11.254,0.128,75.67
161,All Together Now ,lawngreen,0.116,0.606,0.413,0.0,0.352,-7.902,0.0622,96.245
162,Rolling In The Deep,indigo,0.131,0.729,0.756,0.0,0.0527,-5.119,0.0294,104.945
163,Bad guy,darkred,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128
164,compensating,lightcoral,0.292,0.867,0.616,0.0,0.253,-5.405,0.169,98.017
165,Raka,midnightblue,0.131,0.885,0.826,0.0,0.142,-5.327,0.298,96.007
166,Sympathy For The Devil,peru,0.518,0.702,0.668,0.0,0.0588,-9.237,0.214,116.063
167,Lemonade,red,0.256,0.799,0.66,0.0,0.111,-6.153,0.079,140.04
168,Yellow Submarine,aqua,0.531,0.604,0.549,0.0,0.438,-9.873,0.0389,111.398
169,Peponi,saddlebrown,0.865,0.511,0.584,0.0182,0.102,-9.395,0.0309,141.986
170,Julie and Candy,orange,0.00245,0.677,0.623,0.931,0.21,-8.045,0.0394,145.866
171,A Moment Apart,steelblue,0.179,0.515,0.663,0.668,0.494,-7.896,0.0328,120.024
172,Everybody party tonight ,lemonchiffon,0.0567,0.705,0.837,0.0275,0.0198,-4.75,0.0367,122.031
173,cemetery drive,red,0.000902,0.548,0.888,0.00172,0.0943,-4.861,0.0362,115.993
174,Death by a thousand cuts,firebrick,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071
175,Death by a thousand cuts,firebrick,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071
176,"Friend, please",skyblue,0.391,0.228,0.517,0.0,0.29,-9.167,0.0401,109.83
177,semi-automatic,lightpink,0.0489,0.78,0.716,5.92e-06,0.0704,-4.551,0.0439,105.017
178,romance,dodgerblue,0.0589,0.713,0.632,1.44e-06,0.105,-7.685,0.105,170.009
179,vampires will never hurt you,lightgray,0.0118,0.327,0.963,0.0,0.176,-8.871,0.174,98.416
180,paradise ,whitesmoke,0.0828,0.844,0.644,0.0,0.113,-6.273,0.0479,122.061
